,store,sido,gungu,store_address
1069,횡성점,강원도,횡성군,강원도 횡성군 횡성읍 태기로 35
1070,횡성중앙점,강원도,횡성군,"강원도 횡성군 횡성읍 문정로19번길, 13-3"
1071,효가리점,강원도,동해시,"강원도 동해시  청운로 71(쇄운동, 104)"
1072,효돈점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 하신상로 29
1073,효성1점,인천광역시,계양구,인천광역시 계양구 아나지로 173
1074,효성2점,인천광역시,계양구,인천광역시 계양구 안남로 573번길3
1075,효성점,인천광역시,남동구,인천광역시 남동구 백범로247번길 93-26
1076,효자점(포항),경상북도,포항시남구,경상북도 포항시남구 효자로118번길 27
1077,후곡점,경기도,고양시일산서구,"경기도 고양시일산서구 강선로 140, 107(일산동, 태영상가)"
1078,후평2동점,강원도,춘천시,"강원도 춘천시 후만로 37, 1층1호(후평동, 주공6단지A)"
1079,후포점,경상북도,울진군,경상북도 울진군 후포면 후포리 623-130
1080,훼미리점,서울특별시,송파구,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)"
1081,휴먼시아점,서울특별시,금천구,"서울특별시 금천구 금하로1가길 28 (독산동,지상1층)"
1082,휴천점,경상북도,영주시,경상북도 영주시 휴천2동 303-21
1083,흑석동점,서울특별시,동작구,서울특별시 동작구 서달로10길 14-1
1084,흥업점,강원도,원주시,강원도 원주시 흥업면 남원로 82
1085,흰돌점,경기도,고양시일산동구,경기도 고양시일산동구 일산로 11 
1086,CNTTEST,00,18,00 18 신사동 주소
